[CSV]host,iter,algo,n,avgDeg,alpha,PLE,R,T,TimeTotal,GenNumEdge,GenAvgDeg
[CSV]compute5,0,NkOpt,10000,10,0.6,2.2,19.2056,0.0,6.46031,57852,11.5704
[CSV]compute5,0,NkOpt,10000,10,0.6,2.2,19.2056,0.0,6.30024,69257,13.8514
[CSV]compute5,0,NkOpt,21544,10,0.6,2.2,20.8558,0.0,12.2027,114900,10.6665
[CSV]compute5,0,NkOpt,46415,10,0.6,2.2,22.4896,0.0,26.826,217004,9.3506
[CSV]compute5,0,NkOpt,100000,10,0.6,2.2,24.112,0.0,60.5956,470334,9.40668
[CSV]compute5,0,NkOpt,215443,10,0.6,2.2,25.7171,0.0,140.152,1090223,10.1208
[CSV]compute5,0,NkOpt,464158,10,0.6,2.2,27.3193,0.0,312.755,2334041,10.0571
[CSV]compute5,0,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,638.419,4823332,9.64666
[CSV]compute5,0,NkOpt,2154434,10,0.6,2.2,30.488,0.0,1479.37,10308348,9.56943
[CSV]compute5,0,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,3491.21,24756315,10.6672
[CSV]compute5,0,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,8011.28,50081229,10.0162
[CSV]compute5,0,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,16606.5,105094868,9.75614
[CSV]compute5,0,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,38407,224097733,9.65608
[CSV]compute5,0,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,88872.9,505639924,10.1128
[CSV]compute5,0,NkOpt,10000,100,0.6,2.2,14.0942,0.0,15.6684,445713,89.1426
[CSV]compute5,0,NkOpt,10000,100,0.6,2.2,14.0942,0.0,15.8534,459935,91.987
[CSV]compute5,0,NkOpt,21544,100,0.6,2.2,15.8307,0.0,33.1009,985242,91.4632
[CSV]compute5,0,NkOpt,46415,100,0.6,2.2,17.531,0.0,76.1149,2325423,100.201
[CSV]compute5,0,NkOpt,100000,100,0.6,2.2,19.2046,0.0,164.861,4943536,98.8707
[CSV]compute5,0,NkOpt,215443,100,0.6,2.2,20.8564,0.0,343.805,9820869,91.1691
[CSV]compute5,0,NkOpt,464158,100,0.6,2.2,22.4907,0.0,792.016,22790722,98.2024
[CSV]compute5,0,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,1696.63,50527657,101.055
[CSV]compute5,0,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,3680.41,105871423,98.2824
[CSV]compute5,0,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,8317.52,233603790,100.657
[CSV]compute5,0,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,18400.4,497210576,99.4421
[CSV]compute5,0,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,38816.4,1071490880,99.4684
[CSV]compute5,0,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,86037.7,2296938046,98.9721
[CSV]compute5,0,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,192462,5031445878,100.629
[CSV]compute5,0,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,215.228,9878565,917.06
[CSV]compute5,0,NkOpt,46415,1000,0.6,2.2,12.309,0.0,479.164,21961155,946.296
[CSV]compute5,0,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,1111.88,50803327,1016.07
[CSV]compute5,0,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,2309.33,105039218,975.1
[CSV]compute5,0,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,4942.27,222140415,957.176
[CSV]compute5,0,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,10924.5,498817379,997.635
[CSV]compute5,0,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,23560.8,1075118733,998.052
[CSV]compute5,0,NkOpt,4641588,1000,0.6,2.2,22.4907,0.0,50829.6,2311966464,996.196
[CSV]compute5,0,NkOpt,10000000,1000,0.6,2.2,24.1108,0.0,108975,4935096661,987.019
[CSV]compute5,0,NkOpt,10000,10,1,3,15.683,0.0,5.48823,48757,9.7514
[CSV]compute5,0,NkOpt,10000,10,1,3,15.683,0.0,5.22892,48758,9.7516
[CSV]compute5,0,NkOpt,21544,10,1,3,17.2179,0.0,10.7076,108300,10.0538
[CSV]compute5,0,NkOpt,46415,10,1,3,18.7527,0.0,23.8591,228161,9.83135
[CSV]compute5,0,NkOpt,100000,10,1,3,20.2913,0.0,53.6324,492540,9.8508
[CSV]compute5,0,NkOpt,215443,10,1,3,21.8265,0.0,120.575,1070075,9.93372
[CSV]compute5,0,NkOpt,464158,10,1,3,23.3616,0.0,274.234,2320707,9.99964
[CSV]compute5,0,NkOpt,1000000,10,1,3,24.8968,0.0,559.722,4975817,9.95163
[CSV]compute5,0,NkOpt,2154434,10,1,3,26.4319,0.0,1301.15,10789419,10.016
[CSV]compute5,0,NkOpt,4641588,10,1,3,27.9671,0.0,3139.44,23143486,9.97223
[CSV]compute5,0,NkOpt,10000000,10,1,3,29.5022,0.0,7343.84,50000748,10.0001
[CSV]compute5,0,NkOpt,21544346,10,1,3,31.0374,0.0,15211.3,107612141,9.98983
[CSV]compute5,0,NkOpt,46415888,10,1,3,32.5725,0.0,35127.1,231763244,9.98638
[CSV]compute5,0,NkOpt,100000000,10,1,3,34.1046,0.0,82266.5,500974610,10.0195
[CSV]compute5,0,NkOpt,10000,100,1,3,11.0622,0.0,15.1886,480625,96.125
[CSV]compute5,0,NkOpt,10000,100,1,3,11.0622,0.0,15.614,517683,103.537
[CSV]compute5,0,NkOpt,21544,100,1,3,12.6063,0.0,32.647,1112368,103.265
[CSV]compute5,0,NkOpt,46415,100,1,3,14.1455,0.0,68.0652,2288405,98.6063
[CSV]compute5,0,NkOpt,100000,100,1,3,15.683,0.0,151.278,5089493,101.79
[CSV]compute5,0,NkOpt,215443,100,1,3,17.2191,0.0,329.36,10688900,99.2272
[CSV]compute5,0,NkOpt,464158,100,1,3,18.7545,0.0,736.768,23413981,100.888
[CSV]compute5,0,NkOpt,1000000,100,1,3,20.2899,0.0,1517.19,49917066,99.8341
[CSV]compute5,0,NkOpt,2154434,100,1,3,21.825,0.0,3307.95,107694415,99.9747
[CSV]compute5,0,NkOpt,4641588,100,1,3,23.36,0.0,7443.83,232960028,100.379
[CSV]compute5,0,NkOpt,10000000,100,1,3,24.8951,0.0,16738,500093697,100.019
[CSV]compute5,0,NkOpt,21544346,100,1,3,26.4301,0.0,35118.6,1075888414,99.8766
[CSV]compute5,0,NkOpt,46415888,100,1,3,27.9655,0.0,78121.6,2320567696,99.9902
[CSV]compute5,0,NkOpt,100000000,100,1,3,29.5006,0.0,174175,4999811290,99.9962
[CSV]compute5,0,NkOpt,21544,1000,1,3,7.93843,0.0,218.175,10748506,997.819
[CSV]compute5,0,NkOpt,46415,1000,1,3,9.50959,0.0,465.234,23465395,1011.11
[CSV]compute5,0,NkOpt,100000,1000,1,3,11.0624,0.0,990.237,50160645,1003.21
[CSV]compute5,0,NkOpt,215443,1000,1,3,12.6062,0.0,2158.07,108477804,1007.02
[CSV]compute5,0,NkOpt,464158,1000,1,3,14.1456,0.0,4680.22,231759801,998.625
[CSV]compute5,0,NkOpt,1000000,1000,1,3,15.6828,0.0,9866.06,499248339,998.497
[CSV]compute5,0,NkOpt,2154434,1000,1,3,17.2189,0.0,21221.3,1078745265,1001.42
[CSV]compute5,0,NkOpt,4641588,1000,1,3,18.7545,0.0,45996.2,2321030242,1000.1
[CSV]compute5,0,NkOpt,10000000,1000,1,3,20.2899,0.0,100172,5006126971,1001.23
[CSV]compute5,1,NkOpt,10000,10,0.6,2.2,19.2056,0.0,6.03056,55690,11.138
[CSV]compute5,1,NkOpt,10000,10,0.6,2.2,19.2056,0.0,5.84889,54922,10.9844
[CSV]compute5,1,NkOpt,21544,10,0.6,2.2,20.8558,0.0,11.6989,112734,10.4655
[CSV]compute5,1,NkOpt,46415,10,0.6,2.2,22.4896,0.0,26.4913,263707,11.363
[CSV]compute5,1,NkOpt,100000,10,0.6,2.2,24.112,0.0,56.7067,444946,8.89892
[CSV]compute5,1,NkOpt,215443,10,0.6,2.2,25.7171,0.0,130.733,1005842,9.33743
[CSV]compute5,1,NkOpt,464158,10,0.6,2.2,27.3193,0.0,304.095,2390283,10.2994
[CSV]compute5,1,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,626.126,4857431,9.71486
[CSV]compute5,1,NkOpt,2154434,10,0.6,2.2,30.488,0.0,1451.52,10432326,9.68452
[CSV]compute5,1,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,3433.7,22039108,9.49637
[CSV]compute5,1,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,7990.52,50024969,10.005
[CSV]compute5,1,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,16597,105964409,9.83686
[CSV]compute5,1,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,38543,241311839,10.3978
[CSV]compute5,1,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,88503,485909768,9.7182
[CSV]compute5,1,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.2731,516430,103.286
[CSV]compute5,1,NkOpt,10000,100,0.6,2.2,14.0942,0.0,16.3237,484701,96.9402
[CSV]compute5,1,NkOpt,21544,100,0.6,2.2,15.8307,0.0,34.6126,1049693,97.4464
[CSV]compute5,1,NkOpt,46415,100,0.6,2.2,17.531,0.0,72.7411,2179885,93.9302
[CSV]compute5,1,NkOpt,100000,100,0.6,2.2,19.2046,0.0,160.36,4751267,95.0253
[CSV]compute5,1,NkOpt,215443,100,0.6,2.2,20.8564,0.0,346.239,9914060,92.0342
[CSV]compute5,1,NkOpt,464158,100,0.6,2.2,22.4907,0.0,789.182,22688615,97.7625
[CSV]compute5,1,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,1698.27,50679043,101.358
[CSV]compute5,1,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,3651.15,105033113,97.5041
[CSV]compute5,1,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,8333.88,233914567,100.791
[CSV]compute5,1,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,18848.1,520720058,104.144
[CSV]compute5,1,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,38825.8,1071273726,99.4482
[CSV]compute5,1,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,86887.3,2335619871,100.639
[CSV]compute5,1,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,190672,4949801397,98.996
[CSV]compute5,1,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,213.1,9760849,906.132
[CSV]compute5,1,NkOpt,46415,1000,0.6,2.2,12.309,0.0,487.949,22424249,966.25
[CSV]compute5,1,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,1091.9,50033177,1000.66
[CSV]compute5,1,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,2315.17,104950333,974.275
[CSV]compute5,1,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,4982.46,224499389,967.34
[CSV]compute5,1,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,10703.6,487547222,975.094
[CSV]compute5,1,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,23103.7,1051927969,976.524
[CSV]compute5,1,NkOpt,4641588,1000,0.6,2.2,22.4907,0.0,50398.8,2289337950,986.446
[CSV]compute5,1,NkOpt,10000000,1000,0.6,2.2,24.1108,0.0,109218,4953146370,990.629
[CSV]compute5,1,NkOpt,10000,10,1,3,15.683,0.0,5.51711,48504,9.7008
[CSV]compute5,1,NkOpt,10000,10,1,3,15.683,0.0,5.25568,47697,9.5394
[CSV]compute5,1,NkOpt,21544,10,1,3,17.2179,0.0,10.8078,110739,10.2803
[CSV]compute5,1,NkOpt,46415,10,1,3,18.7527,0.0,23.6335,228088,9.8282
[CSV]compute5,1,NkOpt,100000,10,1,3,20.2913,0.0,53.7505,492519,9.85038
[CSV]compute5,1,NkOpt,215443,10,1,3,21.8265,0.0,120.48,1089980,10.1185
[CSV]compute5,1,NkOpt,464158,10,1,3,23.3616,0.0,273.554,2309708,9.95225
[CSV]compute5,1,NkOpt,1000000,10,1,3,24.8968,0.0,559.276,4976536,9.95307
[CSV]compute5,1,NkOpt,2154434,10,1,3,26.4319,0.0,1311.82,10783134,10.0102
[CSV]compute5,1,NkOpt,4641588,10,1,3,27.9671,0.0,3128.84,23139481,9.9705
[CSV]compute5,1,NkOpt,10000000,10,1,3,29.5022,0.0,7348.37,50002778,10.0006
[CSV]compute5,1,NkOpt,21544346,10,1,3,31.0374,0.0,15207.4,107724941,10.0003
[CSV]compute5,1,NkOpt,46415888,10,1,3,32.5725,0.0,35156.1,231730349,9.98496
[CSV]compute5,1,NkOpt,100000000,10,1,3,34.1046,0.0,82179.6,500753071,10.0151
[CSV]compute5,1,NkOpt,10000,100,1,3,11.0622,0.0,15.8403,514343,102.869
[CSV]compute5,1,NkOpt,10000,100,1,3,11.0622,0.0,15.1626,501816,100.363
[CSV]compute5,1,NkOpt,21544,100,1,3,12.6063,0.0,32.0798,1083551,100.59
[CSV]compute5,1,NkOpt,46415,100,1,3,14.1455,0.0,66.9912,2240739,96.5524
[CSV]compute5,1,NkOpt,100000,100,1,3,15.683,0.0,150.809,5049696,100.994
[CSV]compute5,1,NkOpt,215443,100,1,3,17.2191,0.0,332.61,10851328,100.735
[CSV]compute5,1,NkOpt,464158,100,1,3,18.7545,0.0,731.743,23183706,99.8958
[CSV]compute5,1,NkOpt,1000000,100,1,3,20.2899,0.0,1522.73,50136096,100.272
[CSV]compute5,1,NkOpt,2154434,100,1,3,21.825,0.0,3308.99,107867998,100.136
[CSV]compute5,1,NkOpt,4641588,100,1,3,23.36,0.0,7425.68,231796456,99.8781
[CSV]compute5,1,NkOpt,10000000,100,1,3,24.8951,0.0,16736.4,500888672,100.178
[CSV]compute5,1,NkOpt,21544346,100,1,3,26.4301,0.0,35199,1079342193,100.197
[CSV]compute5,1,NkOpt,46415888,100,1,3,27.9655,0.0,78017.7,2320144274,99.972
[CSV]compute5,1,NkOpt,100000000,100,1,3,29.5006,0.0,173988,4998555306,99.9711
[CSV]compute5,1,NkOpt,21544,1000,1,3,7.93843,0.0,216.533,10789433,1001.62
[CSV]compute5,1,NkOpt,46415,1000,1,3,9.50959,0.0,450.053,22684613,977.469
[CSV]compute5,1,NkOpt,100000,1000,1,3,11.0624,0.0,1008.49,50855121,1017.1
[CSV]compute5,1,NkOpt,215443,1000,1,3,12.6062,0.0,2155.14,108442941,1006.7
[CSV]compute5,1,NkOpt,464158,1000,1,3,14.1456,0.0,4675.97,232194444,1000.5
[CSV]compute5,1,NkOpt,1000000,1000,1,3,15.6828,0.0,9897.76,501357379,1002.71
[CSV]compute5,1,NkOpt,2154434,1000,1,3,17.2189,0.0,21111.9,1074318566,997.309
[CSV]compute5,1,NkOpt,4641588,1000,1,3,18.7545,0.0,46037.6,2326268669,1002.36
[CSV]compute5,1,NkOpt,10000000,1000,1,3,20.2899,0.0,99924.5,4993602150,998.72
[CSV]compute5,1,NkOpt,21544346,1000,1,3,21.8251,0.0,213647,10780408360,1000.76
[CSV]compute5,2,NkOpt,10000,10,0.6,2.2,19.2056,0.0,6.02071,53666,10.7332
[CSV]compute5,2,NkOpt,10000,10,0.6,2.2,19.2056,0.0,5.63603,46544,9.3088
[CSV]compute5,2,NkOpt,21544,10,0.6,2.2,20.8558,0.0,11.1382,91780,8.52024
[CSV]compute5,2,NkOpt,46415,10,0.6,2.2,22.4896,0.0,25.6545,231798,9.98806
[CSV]compute5,2,NkOpt,100000,10,0.6,2.2,24.112,0.0,58.1567,501357,10.0271
[CSV]compute5,2,NkOpt,215443,10,0.6,2.2,25.7171,0.0,130.36,977982,9.0788
[CSV]compute5,2,NkOpt,464158,10,0.6,2.2,27.3193,0.0,301.978,2435456,10.4941
[CSV]compute5,2,NkOpt,1000000,10,0.6,2.2,28.9054,0.0,628.458,4840506,9.68101
[CSV]compute5,2,NkOpt,2154434,10,0.6,2.2,30.488,0.0,1443.41,10168864,9.43994
[CSV]compute5,2,NkOpt,4641588,10,0.6,2.2,32.0655,0.0,3451.36,22929892,9.88019
[CSV]compute5,2,NkOpt,10000000,10,0.6,2.2,33.6363,0.0,8008.12,50698864,10.1398
[CSV]compute5,2,NkOpt,21544346,10,0.6,2.2,35.2051,0.0,16651.4,107537685,9.98291
[CSV]compute5,2,NkOpt,46415888,10,0.6,2.2,36.7676,0.0,38312.9,223445655,9.62798
[CSV]compute5,2,NkOpt,100000000,10,0.6,2.2,38.3262,0.0,88566.1,483576576,9.67153
[CSV]compute5,2,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.8513,523622,104.724
[CSV]compute5,2,NkOpt,10000,100,0.6,2.2,14.0942,0.0,17.7705,534988,106.998
[CSV]compute5,2,NkOpt,21544,100,0.6,2.2,15.8307,0.0,34.326,1023115,94.9791
[CSV]compute5,2,NkOpt,46415,100,0.6,2.2,17.531,0.0,75.429,2275802,98.0632
[CSV]compute5,2,NkOpt,100000,100,0.6,2.2,19.2046,0.0,160.334,4687053,93.7411
[CSV]compute5,2,NkOpt,215443,100,0.6,2.2,20.8564,0.0,368.294,10673617,99.0853
[CSV]compute5,2,NkOpt,464158,100,0.6,2.2,22.4907,0.0,831.007,23991213,103.375
[CSV]compute5,2,NkOpt,1000000,100,0.6,2.2,24.1109,0.0,1690.23,49652350,99.3047
[CSV]compute5,2,NkOpt,2154434,100,0.6,2.2,25.7189,0.0,3644.82,103776848,96.3379
[CSV]compute5,2,NkOpt,4641588,100,0.6,2.2,27.3174,0.0,8349.36,232451012,100.16
[CSV]compute5,2,NkOpt,10000000,100,0.6,2.2,28.9074,0.0,18356.2,494379216,98.8758
[CSV]compute5,2,NkOpt,21544346,100,0.6,2.2,30.4901,0.0,39429.3,1094491499,101.604
[CSV]compute5,2,NkOpt,46415888,100,0.6,2.2,32.0667,0.0,85662.1,2262608577,97.4928
[CSV]compute5,2,NkOpt,100000000,100,0.6,2.2,33.6378,0.0,191674,4985682567,99.7137
[CSV]compute5,2,NkOpt,21544,1000,0.6,2.2,10.4538,0.0,210.361,9605590,891.718
[CSV]compute5,2,NkOpt,46415,1000,0.6,2.2,12.309,0.0,481.867,22010252,948.411
[CSV]compute5,2,NkOpt,100000,1000,0.6,2.2,14.0941,0.0,1023.07,46669002,933.38
[CSV]compute5,2,NkOpt,215443,1000,0.6,2.2,15.8305,0.0,2363.75,107809470,1000.82
[CSV]compute5,2,NkOpt,464158,1000,0.6,2.2,17.5312,0.0,4984.74,224760825,968.467
[CSV]compute5,2,NkOpt,1000000,1000,0.6,2.2,19.2046,0.0,10981.3,502024866,1004.05
[CSV]compute5,2,NkOpt,2154434,1000,0.6,2.2,20.8563,0.0,23638.6,1077453989,1000.22
